"ordre","franja","tipo_dia","media_hw","sd_hw","n"
16,"18-20h","Laborable",10.6284632034632,4.29698384589002,154
17,"18-20h","Laborable",10.6535256410256,4.48611917668699,156
18,"18-20h","Laborable",10.6480769230769,4.42081746991306,156
19,"18-20h","Laborable",10.4216666666667,4.38670995997347,150
20,"18-20h","Laborable",10.469375,4.53667363969876,160
21,"18-20h","Laborable",10.412101910828,4.70659188408521,157
22,"18-20h","Laborable",10.3491919191919,4.69500643092043,165
23,"18-20h","Laborable",10.4930997876858,4.67952328693534,157
24,"18-20h","Laborable",10.5164556962025,4.78309678108269,158
25,"18-20h","Laborable",10.3649494949495,4.84523087966344,165
26,"18-20h","Laborable",10.479375,4.88182087020153,160
27,"18-20h","Laborable",10.4662447257384,4.87190043346237,158
28,"18-20h","Laborable",10.2516025641026,5.01759226943005,156
29,"18-20h","Laborable",10.086875,4.70613601998968,160
30,"18-20h","Laborable",9.97726269315674,4.82317379888346,151
31,"18-20h","Laborable",10.067194092827,4.88427775802858,158
32,"18-20h","Laborable",10.121974522293,4.99985435621803,157
33,"18-20h","Laborable",10.1230769230769,5.12023271114378,156
34,"18-20h","Laborable",9.9831081081081,5.04311193897671,148
35,"18-20h","Laborable",10.2375,5.16017179184867,148
36,"18-20h","Laborable",9.99586129753915,5.1047366958919,149
37,"18-20h","Laborable",10.0582809224319,5.33716893794833,159
38,"18-20h","Laborable",9.98861502347418,5.16583092825802,142
39,"18-20h","Laborable",10.2745495495495,5.38411637767534,148
11,"20-22h","Laborable",14.508024691358,2.94774408930783,81
1,"6-8h","Fin de semana",12.3599290780142,1.16734793553173,47
2,"6-8h","Fin de semana",12.4475177304965,1.92402801461084,47
3,"6-8h","Fin de semana",12.4166666666667,2.09034472343724,47
4,"6-8h","Fin de semana",12.4583333333333,2.26390286294256,46
5,"6-8h","Fin de semana",12.4596899224806,2.36449216154039,43
6,"6-8h","Fin de semana",12.4829787234043,2.59039821552525,47
7,"6-8h","Fin de semana",12.486524822695,2.87664180866943,47
8,"6-8h","Fin de semana",12.4897163120567,3.11404321343859,47
9,"6-8h","Fin de semana",12.5434959349593,3.23858224735759,41
10,"6-8h","Fin de semana",12.5188405797101,3.37298748171382,46
11,"6-8h","Fin de semana",12.4322463768116,3.51203645010106,46
12,"6-8h","Fin de semana",12.586170212766,3.58050666932001,47
13,"6-8h","Fin de semana",12.6565217391304,3.93130280020814,46
14,"6-8h","Fin de semana",12.6836879432624,3.92409946800577,47
15,"6-8h","Fin de semana",12.6751773049645,3.84029750561693,47
16,"6-8h","Fin de semana",12.7053191489362,3.77447425136146,47
17,"6-8h","Fin de semana",12.7301418439716,3.79460530859824,47
18,"6-8h","Fin de semana",12.7241134751773,3.88480380275212,47
19,"6-8h","Fin de semana",12.7684397163121,3.80373455256904,47
20,"6-8h","Fin de semana",12.8234042553192,3.69592355995687,47
21,"6-8h","Fin de semana",12.9541666666667,3.43353488721251,44
22,"6-8h","Fin de semana",13.0090579710145,3.9090346547923,46
23,"6-8h","Fin de semana",12.9710144927536,4.05822961276327,46
24,"6-8h","Fin de semana",13.0713768115942,4.21944742600068,46
25,"6-8h","Fin de semana",13.0652173913043,4.19696072585947,46
